Name,Current price,Change(%),Open,High,Low,Volume
PALTALK INC.,3.3,10.9,3.38,3.38,3.3,13552
GULF RESOURCES INC.,1.54,4.05,1.5,1.58,1.48,13521
INSTIL BIO INC.,11.04,11.78,11.25,11.47,10.8,13480
VIA RENEWABLES INC.,10.53,11.68,10.7,10.7,10.5,13443
BANK FIRST CORP.,81.37,2.3,80.38,81.37,79.8,13426
DIAMOND HILL INVESTMENT GROUP,152.58,0.09,152.41,153.9,152.31,13426
TEXAS CAPITAL BANCSHARES,19.15,10.52,18.97,19.22,18.97,13326
MINERVA NEUROSCIENCES INC,2.44,13.17,2.48,2.49,2.42,13300
INTEGRAL ACQUISITION,10.94,0.0,10.98,10.98,10.94,13299
CHS,25.8,0.19,25.72,25.86,25.72,13281
BTC DIGITAL,2.14,4.9,2.04,2.14,2.04,13237
READING INTERNATIONAL,1.63,0.62,1.62,1.66,1.61,13215
CALLIDITAS THERAPEUTICS AB ADS,22.42,11.45,22.5,22.5,21.46,13209
EASTERN CO.,28.24,10.25,28.76,28.76,27.76,13184
CLIMB GLOBAL SOLUTIONS INC.,55.59,7.92,51.0,55.59,49.69,13162
SOTHERLY HOTELS INC.,1.41,1.44,1.4,1.42,1.38,13131
SR BANCORP INC.,9.17,10.43,9.21,9.23,9.16,13058
C&F FINANCIAL CORP.,44.65,1.39,43.75,45.12,43.75,13056
MANHATTAN BRIDGE CAPITAL INC,5.27,0.76,5.2,5.29,5.16,12985
BROOKFIELD PROPERTY PARTNERS L.P. 6.375,14.01,1.16,13.85,14.01,13.85,12976
FIRST COMMUNITY,17.27,1.89,17.18,17.33,17.01,12957
STERLING BANCORP INC.,5.18,1.77,5.11,5.18,5.11,12941
ARGO BLOCKCHAIN PLC 8.75% SENIOR NOTES,8.79,5.9,8.55,8.8,8.33,12903
HINGHAM INSTITUTION FOR SAVINGS,171.26,1.17,169.0,171.41,168.91,12866
THE INTERGROUP CORP.,22.12,19.49,24.44,24.44,22.05,12855
FIFTH THIRD BANCORP DEPOSITARY SHARE RE,25.58,0.43,25.45,25.62,25.45,12813
TRANSACT TECHNOLOGIES INC.,3.43,12.0,3.51,3.55,3.42,12805
ZHONGCHAO INC.,1.35,11.46,1.35,1.35,1.3,12757
CUMBERLAND PHARMACEUTICALS,1.55,11.27,1.67,1.67,1.45,12749
CHEMOMAB THERAPEUTICS,0.87,3.69,0.84,0.879,0.84,12731
IMMUCELL CORP.,4.53,10.66,4.55,4.57,4.48,12731
SEMILUX INTERNATIONAL,1.94,0.0,1.86,2.0,1.84,12679
BOXLIGHT CORP.,0.695,12.22,0.72,0.74,0.695,12538
SIEBERT FINANCIAL,2.17,11.36,2.31,2.31,2.1,12505
BRAGG GAMING GROUP INC.,6.0,0.84,5.98,6.07,5.94,12457
BAYCOM CORP,20.36,2.06,20.14,20.45,20.14,12440
SYNAPTOGENIX INC.,4.51,13.63,4.81,4.82,4.5,12436
FARMERS & MERCHANTS BANCORP,22.24,0.95,21.91,22.24,21.83,12430
CHURCHILL CAPITAL CORP IX UNIT,10.11,0.0,10.12,10.12,10.11,12416
MEI PHARMA INC.,3.1,10.96,3.19,3.19,3.06,12399
GLADSTONE LAND CORP.,20.12,1.36,19.9,20.2,19.9,12373
DIGIASIA,8.32,114.58,8.65,9.17,8.31,12348
DATASEA INC.,5.49,12.49,5.57,5.64,5.42,12272
ADITXT INC.,2.03,11.93,2.04,2.06,2.02,12206
P.A.M. TRANSPORTATION SERVICES,16.94,1.62,17.03,17.19,16.85,12204
ZENTEK LTD.,1.08,12.7,1.13,1.13,1.08,12185
INVESTCORP EUROPE ACQUISITION CORP I,11.34,0.0,11.33,11.34,11.33,12161
INDAPTUS THERAPEUTICS INC.,2.34,10.85,2.36,2.39,2.29,12157
FOREMOST LITHIUM RESOURCE & TECHNOLOGY,2.58,16.86,2.53,2.69,2.52,12153
SOCKET MOBILE INC.,1.37,6.2,1.33,1.39,1.33,12073
NORTHEAST COMMUNITY BANCORP,17.34,1.34,17.22,17.34,17.12,12054
ZEO ENERGY CORP.,4.87,0.41,4.76,4.96,4.66,12013
AIR T INC.,25.36,0.48,25.34,25.78,24.6,11970
WHITEHORSE FINANCE,25.36,0.24,25.44,25.44,25.22,11927
TRXADE HEALTH INC.,5.65,16.61,5.96,6.07,5.6,11888
RAMACO RESOURCES INC.,11.32,0.35,11.26,11.41,11.04,11855
STRATTEC SECURITY,26.0,11.29,26.34,26.6,25.81,11794
SECUREWORKS CORP.,6.15,3.54,6.0,6.18,5.98,11730
ENLIGHT RENEWABLE ENERGY,17.51,1.45,17.28,17.75,17.28,11676
CROWN CRAFTS INC.,5.25,10.38,5.24,5.27,5.1,11675
THIRD COAST BANCSHARES INC.,21.38,0.85,21.34,21.38,21.1,11645
NATIONAL WESTERN LIFE GROUP,488.11,0.02,489.46,489.46,487.42,11634
NEXIMMUNE INC.,3.18,1.6,3.16,3.2,3.01,11621
NVE CORP.,77.2,0.67,76.64,77.2,76.25,11589
FLEXSHOPPER INC.,1.15,0.88,1.13,1.16,1.13,11587
JOHN MARSHALL BANCORP INC.,17.16,0.94,17.0,17.25,17.0,11573
ENTERO THERAPEUTICS INC.,2.57,18.87,2.83,2.85,2.55,11532
LCNB CORP.,14.42,1.05,14.31,14.45,14.27,11516
SCREAMING EAGLE ACQUISITION,10.0,0.0,12.5,13.4,10.0,11494
STAR HLD.,12.86,0.94,12.9,12.9,12.69,11440
RADCOM,9.15,10.33,9.17,9.41,9.15,11427
KEY TRONIC CORP.,4.24,10.24,4.26,4.32,4.18,11415
FREQUENCY ELECTRONICS INC.,9.44,1.51,9.27,9.59,9.27,11400
MIDDLEFIELD BANC,22.41,10.18,22.39,23.57,22.28,11332
HANCOCK WHITNEY,23.65,0.34,23.58,23.73,23.58,11325
CEPTON INC.,2.56,1.59,2.56,2.66,2.53,11319
SAGA COMMUNICATIONS INC.,19.45,0.31,19.55,19.66,19.21,11309
B. RILEY FINANCIAL,20.25,2.58,20.0,20.25,19.5,11298
BENITEC BIOPHARMA INC.,9.02,14.14,9.52,9.56,9.02,11192
OLD NATIONAL BANCORP DEPOSITARY SHARES,24.88,0.85,24.84,25.1,24.56,11186
EBANG INTERNATIONAL HLD.,8.49,10.24,8.49,8.83,8.44,11138
BRIDGER AEROSPACE GROUP HLD.,4.03,1.0,4.0,4.03,3.92,11131
BREEZE HLD.,0.2025,29.81,0.2478,0.2478,0.2,11100
UNITED HOMES GROUP INC,5.38,2.28,5.19,5.45,5.12,10998
INTCHAINS GROUP LTD.,8.18,0.99,8.11,8.18,8.11,10997
SWIFTMERGE ACQUISITION,10.85,0.0,10.84,10.85,10.84,10945
READING INTERNATIONAL,14.4,11.03,14.55,15.14,13.8,10893
FOCUS IMPACT BH3 ACQUISITION CO.,10.57,0.09,10.57,10.57,10.57,10878
CONSUMER PORTFOLIO SERVICES,8.14,11.45,8.23,8.23,8.03,10851
TIMBERLAND BANCORP INC.,25.93,2.69,25.61,25.93,25.61,10850
SURROZEN INC.,10.45,1.55,10.0,10.45,9.83,10821
FINWISE BANCORP,10.52,10.38,10.56,10.68,10.52,10795
FORAFRIC GLOBAL PLC,11.1,2.97,11.09,11.1,10.98,10660
OAK WOODS ACQUISITION,0.1545,19.65,0.1163,0.18,0.1163,10641
EDAP TMS S.A. ADS,6.12,3.55,6.03,6.14,6.0,10630
NORTHRIM BANCORP INC,53.84,1.57,53.0,53.93,51.5,10615
ARCH CAPITAL GROUP,22.5,0.58,22.62,22.62,22.45,10572
PEOPLES FINANCIAL SERVICES,41.07,1.58,40.79,41.08,40.6,10566
17 EDUCATION & TECHNOLOGY GROUP,2.9,12.03,2.62,3.0,2.62,10536
SOPHIA GENETICS SA,4.73,10.21,4.74,4.81,4.71,10528
MULTISENSOR AI HLD.,2.33,5.91,2.35,2.37,2.13,10496
MERIDIAN CORP.,9.87,0.0,9.98,10.0,9.81,10495
WEYCO GROUP INC.,29.95,1.49,29.7,30.0,29.51,10412
HUADI INTERNATIONAL GROUP CO.,2.63,10.38,2.76,2.76,2.61,10396
B. RILEY FINANCIAL,18.04,1.18,17.85,18.38,17.7,10377
BEASLEY BROADCAST GROUP INC.,0.655,10.52,0.67,0.67,0.6505,10374
PYXIS TANKERS INC.,5.06,0.8,5.19,5.19,5.05,10371
HOOKER FURNISHINGS,17.09,0.12,17.28,17.28,17.0,10345
NOVA LIFESTYLE INC,1.9,14.52,2.06,2.06,1.86,10334
DOUBLEDOWN INTERACTIVE CO.,13.0,0.15,11.96,13.0,11.96,10328
RECON TECHNOLOGY,1.58,12.47,1.62,1.64,1.58,10318
AMTECH SYSTEMS INC.,5.35,0.0,5.34,5.38,5.27,10299
FVCBANKCORP INC.,11.28,0.89,11.28,11.31,11.23,10252
CARVER BANCORP INC.,1.83,3.39,1.75,1.86,1.74,10224
GLOBAL STAR ACQUISITION,0.1488,0.0,0.085,0.1494,0.085,10193
RGC RESOURCES INC.,20.18,1.51,19.98,20.18,19.76,10185
MIND C.T.I.,1.88,0.0,1.89,1.89,1.88,10185
DIVERSIFIED HEALTHCARE TRUST 6.25% SEN,13.99,1.08,13.88,14.15,13.88,10103
EUDA HEALTH HOLDINGS,2.34,10.43,2.33,2.36,2.26,10099
BRIGHTHOUSE FINANCIAL,16.28,0.74,16.22,16.3,16.07,10090
BV FINANCIAL INC.,11.04,0.0,10.91,11.08,10.9,10069
FORTE BIOSCIENCES INC.,0.5799,13.35,0.617,0.617,0.55,10053
LENSAR INC.,4.19,1.21,4.2,4.2,4.06,10053
NATURE WOOD GROUP,2.49,0.81,2.43,2.51,2.43,10003
HORIZON SPACE ACQUISITION I,10.96,0.0,10.96,10.96,10.96,10003
GOOD TIMES RESTAURANTS INC.,2.72,1.87,2.74,2.75,2.7,9977
EAGLE BANCORP MONTANA INC.,13.17,0.3,13.27,13.49,13.1,9958
WINMARK CORP.,352.0,0.61,350.0,353.04,350.0,9946
BRIGHTHOUSE FINANCIAL,22.4,0.63,22.33,22.55,22.26,9911
NEPHROS INC.,2.19,10.45,2.22,2.27,2.18,9859
PROCESSA PHARMACEUTICALS INC.,1.8,2.27,1.76,1.83,1.76,9839
XORTX THERAPEUTICS INC.,2.58,10.77,2.76,2.76,2.56,9794
DIAMEDICA THERAPEUTICS INC.,2.88,1.05,2.9,2.9,2.78,9783
GOHEALTH INC.,9.81,0.1,9.67,9.99,9.63,9773
NAVIENT CORP.,19.13,1.65,18.9,19.13,18.9,9734
CHECK-CAP,2.27,0.0,2.27,2.27,2.22,9716
AGNC INVESTMENT,25.12,0.12,25.1,25.12,25.06,9700
TORO CORP.,4.68,0.65,4.65,4.69,4.65,9696
RIGETTI COMPUTING,0.1424,110.94,0.1575,0.1575,0.13,9685
GENERATION,4.62,0.43,4.63,4.64,4.57,9630
OMEGA FLEX INC.,64.91,0.02,64.9,66.53,64.9,9628
PINNACLE FINANCIAL PARTNERS,23.27,1.48,22.99,23.28,22.76,9606
NUCANA PLC ADS,3.52,0.0,3.75,3.75,3.52,9584
AMESITE INC.,3.47,1.46,3.35,3.48,3.3,9450
DENALI CAPITAL ACQUISITION,6.35,119.72,7.2,7.6,6.24,9364
UNITY BANCORP INC.,27.88,1.53,27.83,27.88,27.47,9353
COFFEE HOLDING CO. INC.,1.36,5.43,1.29,1.37,1.29,9299
FIFTH THIRD BANCORP DEPOSITARY SHARES,23.41,0.3,23.45,23.5,23.41,9265
FRANKLIN FINANCIAL SERVICES,26.46,0.15,27.42,27.58,26.42,9264
FIRST UNITED CORP.,21.51,0.05,21.74,21.74,21.47,9236
TALIS BIOMEDICAL,9.0,11.53,9.02,9.1,9.0,9207
NORTHEAST BANK,59.41,0.66,59.95,60.12,58.67,9199
UNIVERSE PHARMACEUTICALS INC,2.4,14.0,2.63,2.65,2.37,9134
OPTIMUMBANK HOLDINGS INC.,4.3,0.47,4.39,4.39,4.3,9127
GREENIDGE GENERATION HLD.,9.4,2.17,9.37,9.4,9.07,9125
APYX MEDICAL CORP.,1.6,0.0,1.6,1.63,1.6,9108
GAXOS.AI INC.,3.57,13.51,3.83,3.83,3.56,9038
SOUTHERN STATES BANCSHARES,25.72,0.98,25.2,25.8,25.2,9011
BANK7 CORP.,29.84,1.29,29.66,30.38,29.51,8971
RETO ECO-SOLUTIONS INC.,1.6,1.27,1.6,1.62,1.6,8958
CELULARITY INC.,3.46,10.29,3.49,3.52,3.33,8908
LUXURBAN HOTELS,19.21,15.42,19.0,21.67,19.0,8896
NEWTEKONE,24.97,0.04,25.0,25.5,24.92,8882
BEL FUSE INC.,77.05,1.09,76.69,77.56,76.12,8805
CHOICEONE FINANCIAL SERVICES,25.5,3.03,24.75,25.5,24.51,8749
FRESH2 GROUP LTD.,0.392,11.75,0.398,0.4094,0.3645,8729
IMMURON LTD.,2.25,12.6,2.25,2.3,2.2,8712
CONIFER HLD.,22.4,24.51,18.98,22.4,18.5,8691
FIRST WESTERN FINANCIAL INC.,18.0,2.21,17.85,18.02,17.78,8686
DATA I/O CORP.,2.98,0.0,3.07,3.07,2.9,8617
INSPIRATO INC.,3.8,13.55,4.03,4.05,3.8,8578
ANTELOPE ENTERPRISE HLD.,1.44,2.13,1.38,1.44,1.38,8560
CAPITALWORKS EMERGING MARKETS ACQUISITI,11.05,0.0,11.05,11.05,11.04,8545
YUNHONG GREEN CTI,1.2,14.76,1.19,1.2,1.18,8543
ENTERPRISE BANCORP INC,25.2,0.56,25.14,25.23,25.05,8510
WILHELMINA INTERNATIONAL INC.,5.22,1.36,4.94,5.3,4.94,8485
NEW YORK MORTGAGE TRUST,18.68,0.43,18.6,18.95,18.6,8459
MARIS-TECH,1.39,13.47,1.41,1.44,1.38,8457
NABORS ENERGY TRANSITION,10.52,10.28,10.53,10.55,10.52,8440
ENGLOBAL CORP.,1.69,10.59,1.61,1.7,1.61,8373
180 DEGREE CAPITAL,3.82,0.0,3.82,3.83,3.82,8370
PHARMACYTE BIOTECH INC.,2.14,0.0,2.09,2.19,2.07,8358
BRIGHTHOUSE FINANCIAL,23.71,0.08,23.53,23.87,23.53,8344
LEDDARTECH HOLDINGS INC.,2.2,10.9,2.22,2.22,2.2,8332
SYNLOGIC INC.,1.6,1.27,1.68,1.68,1.57,8331
SB FINANCIAL GROUP INC.,14.5,5.07,14.01,14.9,13.98,8328
PCB BANCORP,15.18,0.93,15.05,15.18,15.05,8292
ALPHAVEST ACQUISITION CORP,11.05,0.18,11.01,11.07,11.01,8280
BAIYU HOLDINGS INC.,1.2,1.69,1.19,1.22,1.18,8268
LEE ENTERPRISES INC.,13.23,1.85,12.99,13.27,12.75,8229
BLUE WORLD ACQUISITION,10.12,1.0,13.8,14.13,9.4,8203
SYLA TECHNOLOGIES CO.,2.51,10.79,2.51,2.53,2.5,8184
CURIS INC.,11.2,0.54,11.14,11.38,11.14,8163
THERAPEUTICSMD INC.,2.14,1.42,2.08,2.14,2.08,8092
DYNATRONICS CORP.,0.41,5.13,0.4155,0.4198,0.3901,8083
USIO INC.,1.59,0.0,1.61,1.62,1.58,8079
FIRST GUARANTY BANCSHARES INC.,11.05,2.41,10.45,11.14,10.45,8079
SLM CORP.,77.04,0.71,76.1,77.31,76.1,8056
FTAC EMERALD ACQUISITION,12.23,1.92,11.98,12.87,11.22,8038
GLOBAL TECHNOLOGY ACQUISITION,10.99,0.0,10.99,10.99,10.99,8004
EASTSIDE DISTILLING INC.,1.0,0.0,1.0,1.0,0.96,7991
PLUS THERAPEUTICS INC.,2.14,10.93,2.13,2.15,2.06,7988
VENUS CONCEPT INC.,0.531,16.0,0.5596,0.5596,0.5308,7987
SALARIUS PHARMACEUTICALS INC.,0.4838,2.09,0.473,0.4977,0.4632,7974
MVB FINANCIAL CORP.,18.22,10.55,18.32,18.4,18.11,7968
FIFTH THIRD BANCORP DEPOSITARY SHARES,21.33,0.71,21.24,21.45,21.15,7960
ONCTERNAL THERAPEUTICS INC.,9.21,1.21,9.27,9.55,9.21,7957
LENDWAY INC.,5.43,2.26,5.21,5.43,5.18,7911
COMSTOCK HOLDING COMPANIES,6.7,5.51,6.3,6.78,6.3,7899
OPTICAL CABLE CORP.,2.81,0.0,2.76,2.81,2.76,7888
CLEAN ENERGY TECHNOLOGIES INC.,1.35,1.5,1.31,1.35,1.25,7880
TRINITY CAPITAL,25.35,0.04,25.35,25.36,25.35,7815
FREIGHTCAR AMERICA INC.,3.63,4.01,3.49,3.66,3.49,7790
U.S. ENERGY CORP.,1.12,0.9,1.11,1.14,1.1,7737
TALPHERA INC.,1.03,10.96,1.02,1.04,1.02,7715
NSTS BANCORP INC.,9.55,0.0,9.62,9.62,9.55,7676
CAMBRIDGE BANCORP,65.7,10.32,66.33,66.37,65.36,7674
QURATE RETAIL INC. SERIES B,4.01,18.86,4.4,4.4,4.01,7661
PROMIS NEUROSCIENCES INC.,1.75,4.17,1.61,1.75,1.59,7658
AMERICAN OUTDOOR BRANDS INC.,8.09,10.12,8.18,8.18,7.92,7576
FIRST BANCORP INC (ME),24.5,0.2,24.53,24.76,24.41,7574
A SPAC II ACQUISITION,0.0719,0.0,0.0719,0.0719,0.0719,7553
TRINITY CAPITAL,25.35,10.04,25.36,25.38,25.35,7533
NEW YORK MORTGAGE TRUST,23.78,0.68,23.57,23.78,23.52,7532
WISEKEY INTERNATIONAL HOLDING LTD ADS,1.91,11.55,1.89,1.99,1.86,7522
THERMOGENESIS HLD.,0.619,14.61,0.648,0.648,0.59,7499
TEXAS COMMUNITY BANCSHARES,14.1,0.0,14.17,14.17,14.1,7489
COMSCORE INC.,13.48,11.17,13.61,13.91,13.48,7470
VALLEY NATIONAL BANCORP 5.5% FIXED TO F,24.43,0.12,24.55,24.59,24.23,7459
STAR EQUITY HOLDINGS INC.,0.9,11.1,0.9,0.94,0.8905,7453
DAWSON GEOPHYSICAL CO.,2.0,11.48,2.02,2.03,1.9,7392
INSPIREMD INC.,2.54,0.79,2.5,2.54,2.5,7379
FITLIFE BRANDS INC.,30.0,1.87,29.6,30.1,29.44,7357
STRATUS PROPERTIES INC.,24.18,10.74,23.71,24.78,23.71,7341
VIRGINIA NATIONAL BANKSHARES,30.53,1.16,30.33,30.91,29.63,7335
CHINA LIBERAL EDUCATION HLD.,1.11,4.72,1.08,1.13,1.08,7316
KALA BIO INC.,6.51,0.15,6.5,6.56,6.5,7311
GORES HOLDINGS IX INC.,10.63,0.0,10.55,10.63,10.54,7220
REE AUTOMOTIVE,4.97,0.0,5.05,5.05,4.9,7205
TANDY LEATHER FACTORY INC.,4.74,1.28,4.68,4.8,4.68,7203
FEUTUNE LIGHT ACQUISITION,0.2,0.0,0.1672,0.2,0.1672,7200
REGENCY CENTERS,23.05,0.0,23.04,23.08,23.0,7190
ADDENTAX GROUP CORP.,1.01,11.94,1.0,1.03,1.0,7099
AUTHID INC.,7.61,10.78,7.58,7.89,7.52,7081
ENERGY FOCUS INC.,1.78,10.56,1.78,1.8,1.76,7078
NEW YORK MORTGAGE TRUST,19.95,1.42,19.5,19.96,19.5,7031
RUNWAY GROWTH FINANCE,25.17,0.28,25.25,25.25,25.08,7018
FULTON FINANCIAL,18.83,2.9,18.39,18.83,18.06,7018
OHIO VALLEY BANC,23.5,11.05,23.75,24.0,23.5,6994
OXFORD LANE CAPITAL,24.97,0.0,24.95,24.98,24.95,6978
KAMADA,5.3,1.53,5.21,5.3,5.21,6975
HARROW,24.87,10.2,24.9,25.07,24.85,6957
SELECTIVE INSURANCE GROUP,18.53,0.38,18.48,18.53,18.3,6916
AUSTRALIAN OILSEEDS HLD.,1.14,0.88,1.12,1.18,1.12,6896
SHARPLINK GAMING INC.,0.98,13.92,1.02,1.02,0.98,6889
CHS,25.56,10.12,25.46,25.86,25.46,6877
INTERLINK ELECTRONICS INC.,5.11,4.71,4.94,5.31,4.76,6866
ALLIANCE ENTERTAINMENT HOLDING,2.4,0.0,2.4,2.4,2.31,6863
ARMADA ACQUISITION,11.46,0.09,11.41,11.46,11.41,6831
CVD EQUIPMENT CORP.,4.55,11.52,4.61,4.65,4.55,6803
NATHAN S FAMOUS INC.,67.3,0.88,67.75,68.15,67.0,6771
IRON HORSE ACQUISITIONS,10.31,15.67,10.65,11.2,10.3,6742
NEWTEKONE,25.02,0.04,25.01,25.03,25.0,6730
BARFRESH FOOD GROUP INC.,1.53,0.0,1.56,1.65,1.53,6728
VERSUS SYSTEMS INC.,1.32,12.94,1.35,1.36,1.31,6656
VERSABANK,9.64,1.47,9.65,9.65,9.51,6652
REDWOODS ACQUISITION,6.08,14.5,5.8,6.27,5.53,6639
INTEGRATED MEDIA TECHNOLOGY,2.0,13.38,2.0,2.07,2.0,6623
NOCERA INC.,1.18,11.32,1.1,1.2,1.1,6616
WAVEDANCER INC.,2.4,14.76,2.49,2.53,2.4,6597
SYNTEC OPTICS HLD.,3.05,2.35,3.03,3.41,3.03,6594
ETERNA THERAPEUTICS INC.,2.06,3.52,1.98,2.13,1.97,6544
IB ACQUISITION CORP.,9.96,10.1,9.99,9.99,9.96,6508
WILLIS LEASE FINANCE,65.46,3.25,63.75,66.11,63.75,6506
ENGENE HOLDINGS INC.,12.86,12.13,12.87,13.0,12.37,6472
PROCAPS GROUP S.A.,2.76,5.75,2.69,2.76,2.65,6460
FORWARD INDUSTRIES INC.,0.5324,11.41,0.5301,0.55,0.517,6451
KOLIBRI GLOBAL ENERGY INC.,3.35,2.45,3.29,3.35,3.21,6429
XOMA CORP.,24.91,10.68,25.1,25.48,24.43,6406
BAOSHENG MEDIA GROUP HLD.,3.46,1.47,3.35,3.46,3.25,6387
TENON MEDICAL INC.,0.7432,10.68,0.7484,0.7484,0.7279,6375
MEDICINOVA INC.,1.34,10.74,1.34,1.36,1.32,6329
BASSETT FURNITURE INDUSTRIES,14.15,10.49,14.16,14.19,14.15,6319
VTV THERAPEUTICS INC.,27.72,14.08,27.54,28.5,27.54,6298
CLPS INCORP.,0.935,1.63,0.96,0.96,0.92,6272
ARTELO BIOSCIENCES INC.,1.44,14.64,1.48,1.48,1.43,6269
LANDMARK BANCORP INC.,19.45,2.91,19.22,19.54,19.05,6204
AMES NATIONAL CORP.,20.36,0.69,20.11,20.42,19.99,6199
TWIN VEE POWERCATS CO.,0.6739,10.35,0.6699,0.674,0.6416,6178
ASCENT INDUSTRIES CO.,10.24,1.19,10.1,10.25,10.1,6144
UNION BANKSHARES INC.,23.75,0.68,23.59,24.4,23.59,6123
EURODRY LTD.,21.6,10.46,21.38,21.62,21.21,6103
GIGAMEDIA LTD.,1.31,12.24,1.32,1.33,1.31,6074
CITIZENS FINANCIAL SERVICES,41.97,2.17,42.19,42.57,41.37,6064
INVESTORS TITLE CO.,154.19,2.19,152.0,154.19,146.41,6056
KAROOOOO,29.46,1.52,29.06,30.01,29.06,6049
ATA CREATIVITY GLOBAL ADS,0.8501,13.39,0.8799,0.8799,0.8498,6019
PRINCETON BANCORP INC.,30.68,1.09,30.57,30.7,30.25,6005
GREAT ELM CAPITAL,25.45,0.0,25.3,25.45,25.26,5991
BANKWELL FINANCIAL GROUP INC.,24.27,0.12,24.09,24.38,24.09,5973
GARDEN STAGE LTD.,7.48,1.63,7.54,7.54,7.05,5960
FIRST BUSINESS FINANCIAL SERVICES,34.75,1.22,34.73,34.76,34.64,5957
NEXTTRIP INC.,2.3,111.2,2.43,2.5,2.3,5956
WINTRUST FINANCIAL,24.35,1.04,24.17,24.36,24.15,5932
OPTEX SYSTEMS HLD.,8.24,0.49,8.11,8.26,8.1,5922
LOGAN RIDGE FINANCE,22.5,0.0,22.39,22.5,22.38,5912
SOUND GROUP INC. ADS,2.54,0.79,2.53,2.57,2.53,5910
JVSPAC ACQUISITION,10.5,0.96,10.4,11.35,10.4,5902
FS BANCORP INC.,33.06,1.22,32.79,33.06,32.68,5894
TRINITY BIOTECH PLC ADS,1.69,3.68,1.62,1.69,1.6,5881
GRINDROD SHIPPING HLD.,13.73,1.18,13.54,13.75,13.54,5847
INVENTIVA S.A. ADS,3.46,13.35,3.43,3.58,3.42,5842
MIDCAP FINANCIAL INVESTMENT,25.43,0.12,25.39,25.44,25.38,5840
SWK HOLDINGS CORP.,17.22,11.09,17.25,17.35,17.0,5826
STABILIS SOLUTIONS INC.,4.04,1.76,4.01,4.04,3.97,5800
BLACKBOXSTOCKS INC.,2.91,13.0,2.96,3.04,2.91,5702
YOTTA ACQUISITION,10.75,0.0,10.81,10.89,10.75,5689
UCLOUDLINK GROUP INC. ADS,1.61,10.62,1.71,1.71,1.6,5680
ACRI CAPITAL ACQUISITION,11.3,0.0,11.28,11.3,11.28,5653
SEMILEDS CORP.,1.49,2.76,1.43,1.49,1.43,5645
1895 BANCORP OF WISCONSIN INC.,7.35,10.14,7.36,7.36,7.35,5633
IRON HORSE ACQUISITIONS,10.06,0.1,10.05,10.06,10.05,5632
JERASH HOLDINGS (US) INC.,3.07,0.33,3.1,3.1,3.04,5618
INSIGHT ACQUISITION,11.65,0.34,11.64,11.65,11.6,5617
FORIAN INC.,2.75,3.0,2.65,2.79,2.65,5568
WINTRUST FINANCIAL,25.11,0.88,24.9,25.11,24.85,5567
ENVIROTECH VEHICLES INC.,1.6,15.88,1.58,1.63,1.55,5548
VEON LTD. ADS,25.53,0.08,25.51,25.53,25.45,5496
ALTENERGY ACQUISITION,10.94,0.0,10.61,10.94,10.61,5493
XWELL INC.,1.67,3.09,1.62,1.67,1.6,5489
FIRST CITIZENS BANCSHARES,21.67,0.14,21.67,21.95,21.66,5446
LIQTECH INTERNATIONAL INC.,2.69,11.47,2.82,2.85,2.64,5439
SLAM CORP. UNIT,11.07,0.0,11.09,11.25,11.07,5436
CHEER HOLDING INC. ORD.,2.79,3.33,2.79,2.82,2.65,5419
PHARMING GROUP N.V. ADS,9.31,2.87,9.02,9.38,8.96,5404
DOMINARI HOLDINGS INC.,2.18,2.35,2.19,2.22,2.08,5392
DAILY JOURNAL,393.1,1.01,389.94,393.1,389.05,5383
CHIPMOS TECHNOLOGIES INC. ADS,27.49,0.7,27.26,27.52,27.26,5352
MERCHANTS BANCORP DEPOSITARY SHARES,24.68,0.28,24.66,24.75,24.66,5322
BRIDGEWATER BANCSHARES,18.43,0.33,18.45,18.8,18.25,5307
TURBO ENERGY S.A. ADS,1.18,4.42,1.16,1.2,1.13,5248
DESWELL INDUSTRIES INC.,2.41,12.43,2.43,2.49,2.41,5243
CADIZ INC. DEPOSITARY SHARES,13.26,0.91,13.14,13.4,13.14,5233
NI HOLDINGS INC.,15.49,0.98,15.88,15.88,15.49,5232
SENMIAO TECHNOLOGY,0.8,13.39,0.845,0.845,0.79,5190
HUNTINGTON BANCSHARES INC.,22.05,1.19,21.88,22.05,21.85,5111
MOTORSPORT GAMES INC.,2.55,2.82,2.52,2.6,2.52,5092
ANEBULO PHARMACEUTICALS INC.,2.12,14.5,2.16,2.23,2.05,5087
BURTECH ACQUISITION,11.12,0.0,11.08,11.12,11.08,5051
XTL BIOPHARMACEUTICALS,2.61,1.16,2.51,2.79,2.51,5044
CORNER GROWTH ACQUISITION,11.6,14.92,11.61,11.61,11.6,5036
ASIA PACIFIC WIRE & CABLE,1.51,10.66,1.53,1.53,1.5,5034
LOOP INDUSTRIES INC.,2.8,12.1,2.87,2.87,2.72,5030
ESSA BANCORP INC.,17.72,0.62,17.63,17.72,17.52,5020
FINTECH ECOSYSTEM DEVELOPMENT,0.15,0.0,0.15,0.15,0.15,5000
ELECTRO-SENSORS INC.,4.05,11.7,4.05,4.14,4.04,4985
NORWOOD FINANCIAL,24.49,0.57,24.73,24.73,24.47,4976
BAYVIEW ACQUISITION CORP RIGHT,0.19,0.0,0.18,0.19,0.18,4964
MAISON SOLUTIONS INC.,1.09,0.93,1.05,1.1,1.05,4960
ELUTIA INC.,3.25,0.0,3.27,3.39,3.01,4949
